category,calibration_rows_read,control_id,decision_sets,eligible,final_test_rows_read,fold_count,ineligible_folds,mean_fold_nrmse,mean_regret_m_s,model_view,pooled_oof_nrmse,pooled_oof_rmse,seed_index,status,track_id,validation_rows,wall_time_s,auroc,expected_calibration_error,false_negative_rate,false_positive_rate,pooled_oof_brier,precision_at_0_5,predicted_feasible_rate,recall_at_0_5
control,0,C05-T12,,True,0,5,[],,,control,,,8,complete,FQK,39000,59.15512830001535,0.5406360066992288,0.11536220724575903,0.9366091088190984,0.02696651410885384,0.1855488190970228,0.40043923865300146,0.03502564102564103,0.0633908911809016
control,0,C06-T17,,True,0,5,[],,,control,,,8,complete,FQK,39000,59.15512830001535,0.8971983962581732,0.09764262831651918,0.6009966392397729,0.048269730993381846,0.12247392928942265,0.7013648400896313,0.12587179487179487,0.39900336076022713
control,0,A01-T04-q8,,True,0,5,[],,,control,,,8,complete,FQK,39000,59.15512830001535,0.684068456332155,0.16289346641448713,0.8676555800208599,0.09956866747884495,0.1950430810229012,0.2741238598175708,0.10682051282051282,0.13234441997914012
control,0,C05-T17-q8,,True,0,5,[],,,control,,,8,complete,FQK,39000,59.15512830001535,0.5809606268344645,0.15862013990640247,0.912156680959555,0.056962233709788944,0.19558880018504107,0.3046623794212219,0.0637948717948718,0.08784331904044501
control,0,C06-T17,7800,True,0,5,[],0.005356997531575444,16.806576945019742,control,0.006832811015144498,0.016001739666352786,9,complete,Q01b,39000,59.32671990006929,,,,,,,,
control,0,A01-T04-q8,7800,True,0,5,[],0.515468069091409,19.209514784831537,control,0.6270456065755631,1.4684762293458864,9,complete,Q01b,39000,59.32671990006929,,,,,,,,
control,0,C05-T17-q8,7800,True,0,5,[],0.3766703810232937,19.79756513263769,control,0.4794716004279918,1.122873106025163,9,complete,Q01b,39000,59.32671990006929,,,,,,,,
control,0,C01-T18,,True,0,5,[],,,control,,,9,complete,FQK,39000,59.32671990006929,0.7815910284190956,0.12382239543297305,0.8655695909143586,0.04724902044713707,0.16252667617658662,0.44701348747591524,0.06653846153846153,0.13443040908564144
control,0,C02-T02,,True,0,5,[],,,control,,,9,complete,FQK,39000,59.32671990006929,0.9183355858432436,0.06526547218509714,0.6713408274423456,0.03391393105264891,0.0999098875945268,0.7335747542679772,0.09912820512820512,0.3286591725576544
control,0,C03-T13,,True,0,5,[],,,control,,,9,complete,FQK,39000,59.32671990006929,0.8989529527337629,0.11489695140934364,0.5932321242322401,0.05643541536334003,0.13088043978657862,0.6718989280245024,0.13394871794871796,0.40676787576775986
control,0,C04-T28,,True,0,5,[],,,control,,,9,complete,FQK,39000,59.32671990006929,0.7306596292347993,0.07358071774528153,0.9986093405956658,0.0032596885186526622,0.15782398239201534,0.10810810810810811,0.0028461538461538463,0.0013906594043342217
