outer_fold,seed_index,config_id,q,layers,entangle,state_dimension,landmarks,lambda,psd_clipped_eigenvalues,min_eigenvalue_before_clip,validation_outcomes_used
CV04,5,GFRK-04-L010,4,1,True,16,256,0.1,175,-2.197821830328051e-14,0
CV04,5,GFRK-06-L010,6,1,True,64,256,0.1,26,-1.1118231928369864e-15,0
CV04,5,GFRK-08-L010,8,1,True,256,256,0.1,26,-3.9436706299935435e-15,0
CV04,6,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.5066513962373454e-14,0
CV04,6,GFRK-06-L010,6,1,True,64,256,0.1,23,-1.0824978416761298e-15,0
CV04,6,GFRK-08-L010,8,1,True,256,256,0.1,26,-3.9540705714878625e-15,0
CV04,7,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.7712625060335078e-14,0
CV04,7,GFRK-06-L010,6,1,True,64,256,0.1,28,-1.7901153070170306e-15,0
CV04,7,GFRK-08-L010,8,1,True,256,256,0.1,24,-5.228370439513097e-15,0
CV04,8,GFRK-04-L010,4,1,True,16,256,0.1,175,-2.3753822556087568e-14,0
CV04,8,GFRK-06-L010,6,1,True,64,256,0.1,25,-2.3760088051291605e-15,0
CV04,8,GFRK-08-L010,8,1,True,256,256,0.1,25,-4.343228299365095e-15,0
CV04,9,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.485385340883823e-14,0
CV04,9,GFRK-06-L010,6,1,True,64,256,0.1,20,-3.004907349100413e-15,0
CV04,9,GFRK-08-L010,8,1,True,256,256,0.1,21,-9.110423513234955e-16,0
CV04,10,GFRK-04-L010,4,1,True,16,256,0.1,175,-3.601862600489416e-14,0
CV04,10,GFRK-06-L010,6,1,True,64,256,0.1,27,-1.1780632988056972e-15,0
CV04,10,GFRK-08-L010,8,1,True,256,256,0.1,17,-5.876832093324476e-15,0
CV04,11,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.3393114820721235e-14,0
CV04,11,GFRK-06-L010,6,1,True,64,256,0.1,22,-1.495361014636794e-15,0
CV04,11,GFRK-08-L010,8,1,True,256,256,0.1,22,-1.2333962879490164e-15,0
CV04,12,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.5368750101395542e-14,0
CV04,12,GFRK-06-L010,6,1,True,64,256,0.1,30,-2.4748883854453117e-15,0
CV04,12,GFRK-08-L010,8,1,True,256,256,0.1,26,-4.500149923708552e-15,0
CV04,13,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.5595121482071447e-14,0
CV04,13,GFRK-06-L010,6,1,True,64,256,0.1,23,-1.2703167150578916e-15,0
CV04,13,GFRK-08-L010,8,1,True,256,256,0.1,28,-4.9099595008513244e-15,0
CV04,14,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.5566044028427508e-14,0
CV04,14,GFRK-06-L010,6,1,True,64,256,0.1,33,-6.1596604081778854e-15,0
CV04,14,GFRK-08-L010,8,1,True,256,256,0.1,24,-3.2972060591348165e-15,0
CV04,15,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.4326559547566298e-14,0
CV04,15,GFRK-06-L010,6,1,True,64,256,0.1,21,-1.2762929348687818e-15,0
CV04,15,GFRK-08-L010,8,1,True,256,256,0.1,25,-4.002565883704994e-15,0
CV04,16,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.0147758994861848e-14,0
CV04,16,GFRK-06-L010,6,1,True,64,256,0.1,18,-1.3960113836599984e-15,0
CV04,16,GFRK-08-L010,8,1,True,256,256,0.1,22,-4.284817663331865e-15,0
CV04,17,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.5987560620197355e-14,0
CV04,17,GFRK-06-L010,6,1,True,64,256,0.1,31,-1.795657255239998e-15,0
CV04,17,GFRK-08-L010,8,1,True,256,256,0.1,21,-3.283650459956392e-15,0
CV04,18,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.713282935347654e-14,0
CV04,18,GFRK-06-L010,6,1,True,64,256,0.1,32,-1.5145587688578037e-15,0
CV04,18,GFRK-08-L010,8,1,True,256,256,0.1,23,-2.3279509213792706e-15,0
CV04,19,GFRK-04-L010,4,1,True,16,256,0.1,175,-2.15685050854655e-14,0
CV04,19,GFRK-06-L010,6,1,True,64,256,0.1,25,-1.2832557236161684e-15,0
CV04,19,GFRK-08-L010,8,1,True,256,256,0.1,22,-4.764184422722331e-15,0
CV04,20,GFRK-04-L010,4,1,True,16,256,0.1,175,-2.9156314644808934e-14,0
CV04,20,GFRK-06-L010,6,1,True,64,256,0.1,21,-3.6840406281507314e-15,0
CV04,20,GFRK-08-L010,8,1,True,256,256,0.1,23,-1.2807214199002688e-14,0
CV05,1,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.7424426290111967e-14,0
CV05,1,GFRK-06-L010,6,1,True,64,256,0.1,31,-2.111836415613286e-15,0
CV05,1,GFRK-08-L010,8,1,True,256,256,0.1,33,-1.945356239641201e-15,0
CV05,2,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.664116202737793e-14,0
CV05,2,GFRK-06-L010,6,1,True,64,256,0.1,21,-4.4566885349623995e-15,0
CV05,2,GFRK-08-L010,8,1,True,256,256,0.1,22,-1.0646393675643868e-15,0
CV05,3,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.421315441884271e-14,0
CV05,3,GFRK-06-L010,6,1,True,64,256,0.1,23,-9.006218976879426e-15,0
CV05,3,GFRK-08-L010,8,1,True,256,256,0.1,34,-2.418324626715277e-15,0
CV05,4,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.095863126816309e-14,0
CV05,4,GFRK-06-L010,6,1,True,64,256,0.1,27,-2.1439245971659295e-15,0
CV05,4,GFRK-08-L010,8,1,True,256,256,0.1,26,-1.9463049460662287e-15,0
CV05,5,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.9567593063741555e-14,0
CV05,5,GFRK-06-L010,6,1,True,64,256,0.1,22,-3.034018783816093e-15,0
CV05,5,GFRK-08-L010,8,1,True,256,256,0.1,25,-1.6397981268582483e-15,0
CV05,6,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.894249639905061e-14,0
CV05,6,GFRK-06-L010,6,1,True,64,256,0.1,28,-1.3642841582958656e-15,0
CV05,6,GFRK-08-L010,8,1,True,256,256,0.1,31,-2.123760553140709e-15,0
CV05,7,GFRK-04-L010,4,1,True,16,256,0.1,175,-9.554837705303271e-15,0
CV05,7,GFRK-06-L010,6,1,True,64,256,0.1,29,-1.0969231278917504e-15,0
CV05,7,GFRK-08-L010,8,1,True,256,256,0.1,29,-2.1400682985515354e-15,0
CV05,8,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.533296614673864e-14,0
CV05,8,GFRK-06-L010,6,1,True,64,256,0.1,28,-1.5841099782679845e-15,0
CV05,8,GFRK-08-L010,8,1,True,256,256,0.1,25,-3.024609220279835e-15,0
CV05,9,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.1248607712909197e-14,0
CV05,9,GFRK-06-L010,6,1,True,64,256,0.1,22,-1.2873489663998302e-15,0
CV05,9,GFRK-08-L010,8,1,True,256,256,0.1,25,-5.433441854979479e-15,0
CV05,10,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.5804272478079664e-14,0
CV05,10,GFRK-06-L010,6,1,True,64,256,0.1,27,-4.764867272254702e-15,0
CV05,10,GFRK-08-L010,8,1,True,256,256,0.1,19,-2.0308516157885627e-15,0
CV05,11,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.2483208805810171e-14,0
CV05,11,GFRK-06-L010,6,1,True,64,256,0.1,26,-1.6504367432330483e-15,0
