outer_fold,seed_index,grid,candidate_losses,control_losses,candidate_lambda,control_lambda,selection_source,validation_outcomes_used
CV04,5,0.05;0.10;0.15,0.0003721656753942593;0.0003946071339086845;0.0004187946745895684,0.0003718811311442621;0.0003939509307678974;0.0004176796979171985,0.05,0.05,outer_training_inner_oof_only,0
CV04,6,0.05;0.10;0.15,0.0003727039016210623;0.0003957084026256274;0.0004204838020599883,0.0003719157418466088;0.0003940236160716873;0.0004177939217215283,0.05,0.05,outer_training_inner_oof_only,0
CV04,7,0.05;0.10;0.15,0.0003724077422998559;0.0003950905547155746;0.0004195187362934491,0.0003718390658564454;0.0003938635050864872;0.000417543616736418,0.05,0.05,outer_training_inner_oof_only,0
CV04,8,0.05;0.10;0.15,0.000372518794122359;0.0003953201859601496;0.0004198744745596646,0.0003719335866930367;0.0003940616319537318;0.000417854434828378,0.05,0.05,outer_training_inner_oof_only,0
CV04,9,0.05;0.10;0.15,0.0003726151198300952;0.0003955147720644709;0.0004201692557494198,0.0003718809913890173;0.0003939507880962854;0.0004176796891680973,0.05,0.05,outer_training_inner_oof_only,0
CV04,10,0.05;0.10;0.15,0.0003723365876755314;0.0003949479877519863;0.0004193044992756573,0.0003718550362966281;0.0003938951646174313;0.0004175906840087025,0.05,0.05,outer_training_inner_oof_only,0
CV04,11,0.05;0.10;0.15,0.000372592354260919;0.0003954754543845362;0.0004201195994171443,0.0003718726253995934;0.0003939332625097619;0.0004176522103767981,0.05,0.05,outer_training_inner_oof_only,0
CV04,12,0.05;0.10;0.15,0.0003726437877248533;0.0003955773882751894;0.000420271100697301,0.0003718815664280517;0.0003939529837727702;0.0004176845510804478,0.05,0.05,outer_training_inner_oof_only,0
CV04,13,0.05;0.10;0.15,0.0003725803695363891;0.000395453862180488;0.0004200907769785891,0.0003718416752288055;0.0003938674405334926;0.0004175475949603542,0.05,0.05,outer_training_inner_oof_only,0
CV04,14,0.05;0.10;0.15,0.0003724080911516801;0.0003951009109254733;0.0004195487583676721,0.0003718656764528523;0.0003939186815724253;0.0004176293144050121,0.05,0.05,outer_training_inner_oof_only,0
CV04,15,0.05;0.10;0.15,0.000372432962729208;0.0003951420773329257;0.0004195976428574456,0.0003719075469601131;0.0003940096966358249;0.000417776748073428,0.05,0.05,outer_training_inner_oof_only,0
CV04,16,0.05;0.10;0.15,0.0003725578880957695;0.0003954078262327099;0.0004200201134571142,0.0003718706606700661;0.0003939292332495135;0.0004176460167846349,0.05,0.05,outer_training_inner_oof_only,0
CV04,17,0.05;0.10;0.15,0.0003725218233825996;0.000395336239927736;0.0004199135486817021,0.0003718864872696519;0.0003939619422903325;0.0004176966641083346,0.05,0.05,outer_training_inner_oof_only,0
CV04,18,0.05;0.10;0.15,0.0003724506669102414;0.0003951782036130833;0.0004196529091548183,0.0003718818405369764;0.0003939518011915678;0.0004176801810100669,0.05,0.05,outer_training_inner_oof_only,0
CV04,19,0.05;0.10;0.15,0.0003724130489512656;0.0003951126053290178;0.0004195689681795494,0.0003718795187146706;0.0003939470153482101;0.0004176727889469114,0.05,0.05,outer_training_inner_oof_only,0
CV04,20,0.05;0.10;0.15,0.0003725802872535908;0.0003954506149858054;0.0004200812822429365,0.0003718858429191791;0.0003939611737982534;0.0004176962916835155,0.05,0.05,outer_training_inner_oof_only,0
CV05,1,0.05;0.10;0.15,0.0008204589444205173;0.0008596935355687221;0.0009021510973648576,0.0008255446535819072;0.0008699808812930402;0.0009177560070536422,0.05,0.05,outer_training_inner_oof_only,0
CV05,2,0.05;0.10;0.15,0.00082055793713458;0.0008598982692507547;0.0009024683202687675,0.0008256924853165299;0.0008703433664661282;0.0009183999673690381,0.05,0.05,outer_training_inner_oof_only,0
CV05,3,0.05;0.10;0.15,0.0008202098048770501;0.0008591787870847085;0.0009013542705432186,0.0008257329353932221;0.0008703915603004507;0.0009184231986419292,0.05,0.05,outer_training_inner_oof_only,0
CV05,4,0.05;0.10;0.15,0.0008201318500522642;0.0008589476917432018;0.0009008948489930564,0.0008258010101617221;0.0008705314382699196;0.0009186386082448361,0.05,0.05,outer_training_inner_oof_only,0
