outer_fold,seed_index,shared_gain,grid,candidate_losses,control_losses,candidate_gain,control_gain,selection_source,validation_outcomes_used
CV01,13,0.1,0.05;0.10;0.15;0.20,0.0007015994032369929;0.0007189758761947914;0.0007383050164137886;0.0007595868238939843,0.0007263909629980122;0.0007710393082980224;0.0008201206334404235;0.0008736349384252157,0.05,0.05,outer_training_inner_oof_only,0
CV01,14,0.1,0.05;0.10;0.15;0.20,0.0006992833052133877;0.0007144892879580986;0.000731688578914589;0.000750881178082859,0.0007262419764792467;0.0007708388033610084;0.0008198611113257419;0.0008733089003734472,0.05,0.05,outer_training_inner_oof_only,0
CV01,15,0.1,0.05;0.10;0.15;0.20,0.0007008007400452277;0.00071748808806211;0.0007360743643714484;0.0007565595689732429,0.0007264720410289678;0.0007713751205914233;0.0008207215590081682;0.0008745113562792024,0.05,0.05,outer_training_inner_oof_only,0
CV01,16,0.1,0.05;0.10;0.15;0.20,0.000699822388371029;0.0007155038712309304;0.0007331268199001076;0.0007526912343785606,0.0007257999513310247;0.0007699315149820845;0.0008184770622735834;0.0008714365932055213,0.05,0.05,outer_training_inner_oof_only,0
CV01,17,0.1,0.05;0.10;0.15;0.20,0.00070148110885577;0.0007187337454093385;0.000737859526780112;0.0007588584529680908,0.0007265135463805624;0.0007713687975023078;0.0008206673704846431;0.0008744092653275684,0.05,0.05,outer_training_inner_oof_only,0
CV01,18,0.1,0.05;0.10;0.15;0.20,0.0007020830500675865;0.0007199809069449508;0.0007397985430451277;0.0007615359583681173,0.000725861252389477;0.0007700288474667791;0.0008186077576449413;0.0008715979829239636,0.05,0.05,outer_training_inner_oof_only,0
CV01,19,0.1,0.05;0.10;0.15;0.20,0.0007029265872838326;0.0007217280627744062;0.0007424539540717206;0.0007651042611757758,0.0007258997470683604;0.0007701694739838344;0.0008188587083464217;0.0008719674501561221,0.05,0.05,outer_training_inner_oof_only,0
CV01,20,0.1,0.05;0.10;0.15;0.20,0.0007016012180234164;0.0007194184001498378;0.0007391574353085998;0.0007608183234997026,0.0007259850339544927;0.0007707011246016035;0.000819854160870668;0.0008734441427616864,0.05,0.05,outer_training_inner_oof_only,0
CV02,1,0.1,0.05;0.10;0.15;0.20,0.000254850637127463;0.0002605902784538798;0.0002666197726704614;0.0002729391197772078,0.0002632147433050085;0.0002792779109259871;0.0002975903515541469;0.0003181520651894879,0.05,0.05,outer_training_inner_oof_only,0
CV02,2,0.1,0.05;0.10;0.15;0.20,0.0002546059186152107;0.000260103376972687;0.0002658860077376066;0.0002719538109099694,0.0002632202333151332;0.0002792958330795223;0.0002976204319583449;0.0003181940299516014,0.05,0.05,outer_training_inner_oof_only,0
