outer_fold,seed_index,q,eta,candidate_id,control_id,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,residual_target_rows,channel_fit_rows,validation_outcomes_used,channel_source
CV01,16,6,0.25,HEFRK-06-E025,TWO-RBF-06-E025,1.6179280391969932,0.7723226110000067,0.9200800600028689,1024,1024,0,same_cross_fitted_c06_residual
CV01,16,6,0.5,HEFRK-06-E050,TWO-RBF-06-E050,1.6179280391969932,0.7723226110000067,0.9200800600028689,1024,1024,0,same_cross_fitted_c06_residual
CV01,16,6,0.75,HEFRK-06-E075,TWO-RBF-06-E075,1.6179280391969932,0.7723226110000067,0.9200800600028689,1024,1024,0,same_cross_fitted_c06_residual
CV01,16,8,0.25,HEFRK-08-E025,TWO-RBF-08-E025,1.9429025620954994,0.8602559478168239,1.0644321699279589,1024,1024,0,same_cross_fitted_c06_residual
CV01,16,8,0.5,HEFRK-08-E050,TWO-RBF-08-E050,1.9429025620954994,0.8602559478168239,1.0644321699279589,1024,1024,0,same_cross_fitted_c06_residual
CV01,16,8,0.75,HEFRK-08-E075,TWO-RBF-08-E075,1.9429025620954994,0.8602559478168239,1.0644321699279589,1024,1024,0,same_cross_fitted_c06_residual
CV01,17,4,0.25,HEFRK-04-E025,TWO-RBF-04-E025,1.3254448867519193,0.7045432565919161,0.8805742776700344,1024,1024,0,same_cross_fitted_c06_residual
CV01,17,4,0.5,HEFRK-04-E050,TWO-RBF-04-E050,1.3254448867519193,0.7045432565919161,0.8805742776700344,1024,1024,0,same_cross_fitted_c06_residual
CV01,17,4,0.75,HEFRK-04-E075,TWO-RBF-04-E075,1.3254448867519193,0.7045432565919161,0.8805742776700344,1024,1024,0,same_cross_fitted_c06_residual
CV01,17,6,0.25,HEFRK-06-E025,TWO-RBF-06-E025,1.6205558343563604,0.7730524660699994,0.92137847447842,1024,1024,0,same_cross_fitted_c06_residual
CV01,17,6,0.5,HEFRK-06-E050,TWO-RBF-06-E050,1.6205558343563604,0.7730524660699994,0.92137847447842,1024,1024,0,same_cross_fitted_c06_residual
CV01,17,6,0.75,HEFRK-06-E075,TWO-RBF-06-E075,1.6205558343563604,0.7730524660699994,0.92137847447842,1024,1024,0,same_cross_fitted_c06_residual
CV01,17,8,0.25,HEFRK-08-E025,TWO-RBF-08-E025,1.9507621700095115,0.8635322947875034,1.065659475333751,1024,1024,0,same_cross_fitted_c06_residual
CV01,17,8,0.5,HEFRK-08-E050,TWO-RBF-08-E050,1.9507621700095115,0.8635322947875034,1.065659475333751,1024,1024,0,same_cross_fitted_c06_residual
CV01,17,8,0.75,HEFRK-08-E075,TWO-RBF-08-E075,1.9507621700095115,0.8635322947875034,1.065659475333751,1024,1024,0,same_cross_fitted_c06_residual
CV01,18,4,0.25,HEFRK-04-E025,TWO-RBF-04-E025,1.3254448873810645,0.7045089228873999,0.8807786210190076,1024,1024,0,same_cross_fitted_c06_residual
CV01,18,4,0.5,HEFRK-04-E050,TWO-RBF-04-E050,1.3254448873810645,0.7045089228873999,0.8807786210190076,1024,1024,0,same_cross_fitted_c06_residual
CV01,18,4,0.75,HEFRK-04-E075,TWO-RBF-04-E075,1.3254448873810645,0.7045089228873999,0.8807786210190076,1024,1024,0,same_cross_fitted_c06_residual
