outer_fold,seed_index,config_id,q,layers,entangle,state_dimension,landmarks,lambda,psd_clipped_eigenvalues,min_eigenvalue_before_clip,conditioning_feature,validation_outcomes_used
CV03,10,CE-GFRK-08-L010,8,1,True,256,256,0.1,31,-2.407488635455642e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,11,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-2.294330424853943e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,11,CE-GFRK-06-L010,6,1,True,64,256,0.1,32,-2.0425147274008107e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,11,CE-GFRK-08-L010,8,1,True,256,256,0.1,29,-4.641188115034531e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,12,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.3936407818481885e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,12,CE-GFRK-06-L010,6,1,True,64,256,0.1,32,-4.576387617414241e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,12,CE-GFRK-08-L010,8,1,True,256,256,0.1,27,-1.6609469484022536e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,13,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.407047732672031e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,13,CE-GFRK-06-L010,6,1,True,64,256,0.1,26,-1.4538715341968895e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,13,CE-GFRK-08-L010,8,1,True,256,256,0.1,32,-2.0079345066775418e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,14,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-2.8027885859344113e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,14,CE-GFRK-06-L010,6,1,True,64,256,0.1,24,-1.872858605055814e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,14,CE-GFRK-08-L010,8,1,True,256,256,0.1,27,-3.035039553268093e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,15,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.49899749833566e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,15,CE-GFRK-06-L010,6,1,True,64,256,0.1,20,-1.3426637562129708e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,15,CE-GFRK-08-L010,8,1,True,256,256,0.1,28,-3.2851722524564932e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,16,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.5050362161206885e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,16,CE-GFRK-06-L010,6,1,True,64,256,0.1,28,-3.1713278134653636e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,16,CE-GFRK-08-L010,8,1,True,256,256,0.1,34,-4.401194709389946e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,17,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-2.0447741810803173e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,17,CE-GFRK-06-L010,6,1,True,64,256,0.1,24,-1.892077240471351e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,17,CE-GFRK-08-L010,8,1,True,256,256,0.1,20,-3.3889658404830644e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,18,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.442648303291581e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,18,CE-GFRK-06-L010,6,1,True,64,256,0.1,25,-2.3656503076990233e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,18,CE-GFRK-08-L010,8,1,True,256,256,0.1,29,-2.791963005939427e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,19,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.609174357801518e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,19,CE-GFRK-06-L010,6,1,True,64,256,0.1,27,-1.728087270453187e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,19,CE-GFRK-08-L010,8,1,True,256,256,0.1,26,-2.0687818672528393e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,20,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.3151156742855193e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,20,CE-GFRK-06-L010,6,1,True,64,256,0.1,23,-1.931832128109763e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,20,CE-GFRK-08-L010,8,1,True,256,256,0.1,24,-1.3202131867280036e-15,cross_fitted_c06_train_outer_c06_validation,0
CV04,1,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.0444461492635724e-14,cross_fitted_c06_train_outer_c06_validation,0
CV04,1,CE-GFRK-06-L010,6,1,True,64,256,0.1,31,-2.3841555383343254e-15,cross_fitted_c06_train_outer_c06_validation,0
CV04,1,CE-GFRK-08-L010,8,1,True,256,256,0.1,27,-1.7099247056513014e-15,cross_fitted_c06_train_outer_c06_validation,0
CV04,2,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.098216594841915e-14,cross_fitted_c06_train_outer_c06_validation,0
CV04,2,CE-GFRK-06-L010,6,1,True,64,256,0.1,24,-4.0524740061716015e-15,cross_fitted_c06_train_outer_c06_validation,0
CV04,2,CE-GFRK-08-L010,8,1,True,256,256,0.1,26,-1.9162677776031024e-15,cross_fitted_c06_train_outer_c06_validation,0
CV04,3,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.11821507065247e-14,cross_fitted_c06_train_outer_c06_validation,0
CV04,3,CE-GFRK-06-L010,6,1,True,64,256,0.1,16,-8.645512800329647e-16,cross_fitted_c06_train_outer_c06_validation,0
CV04,3,CE-GFRK-08-L010,8,1,True,256,256,0.1,28,-1.8195543433863946e-15,cross_fitted_c06_train_outer_c06_validation,0
CV04,4,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.0545723003653795e-14,cross_fitted_c06_train_outer_c06_validation,0
