model_id,config_id,fold_id,seed_index,validation_rows,brier,auroc,recall,precision,ece,rmse,nrmse,mae,mean_regret_m_s,infeasible_selection_rate,no_predicted_feasible_rate
A02-R-q6,A02-R-q6,CV02,12,9750,0.31041449615337313,0.32117136481089975,0.0006060606060606061,0.2,0.3409009318861305,0.06714128738160927,0.02866961577663301,0.06049530443530476,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,13,9750,0.32897612994256575,0.25660645994832043,0.0,0.0,0.3113420738060894,0.09481938911503561,0.040488283143163835,0.08502827008157983,20.0,0.0,0.5861538461538461
A02-R-q6,A02-R-q6,CV02,13,9750,0.3104339989014119,0.32112687338501295,0.0006060606060606061,0.2,0.3409087642830994,0.06713964533701966,0.02866891461659709,0.06049280573340809,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,14,9750,0.3289680667452696,0.2565216349541931,0.0,0.0,0.3112508044874385,0.09551824646433023,0.04078669820889046,0.085523901271888,20.0,0.0,0.5861538461538461
A02-R-q6,A02-R-q6,CV02,14,9750,0.3104057951168723,0.32116962649753344,0.0006060606060606061,0.2,0.3408954486857232,0.06714485033669458,0.028671137173634897,0.06049895891774355,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,15,9750,0.32897257772187133,0.2565848015034061,0.0,0.0,0.31126416527821765,0.09516805013019762,0.04063716288215621,0.08526733613217446,20.0,0.0,0.5861538461538461
A02-R-q6,A02-R-q6,CV02,15,9750,0.31039959794287997,0.3212089499647639,0.0006060606060606061,0.2,0.34089772713554145,0.06713904997668343,0.02866866039519691,0.060492444404743995,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,16,9750,0.3289530972639115,0.25661198026779425,0.0,0.0,0.31129418890022453,0.09497109928742302,0.040553064033155305,0.08513183840787084,20.0,0.0,0.5861538461538461
A02-R-q6,A02-R-q6,CV02,16,9750,0.31041489031175584,0.3211715057552267,0.0006060606060606061,0.2,0.3409030317124531,0.06713794412108312,0.028668188190143926,0.06049145714042091,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,17,9750,0.3289480048349045,0.2566271552736669,0.0,0.0,0.3112514759113896,0.09532828631618104,0.040705584416279424,0.08537923785610221,20.0,0.0,0.5861538461538461
A02-R-q6,A02-R-q6,CV02,17,9750,0.31042501785777576,0.3211597603946441,0.0006060606060606061,0.2,0.3409053493640748,0.06713820376493514,0.028668299059174982,0.060491167990404215,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,18,9750,0.32898847519897867,0.25644761569180174,0.0,0.0,0.31139092671648144,0.09465671528402511,0.04041882072422813,0.08492256334112283,20.0,0.0,0.5861538461538461
A02-R-q6,A02-R-q6,CV02,18,9750,0.3104064564003774,0.32120887949260046,0.0006060606060606061,0.2,0.3409013201287617,0.06714016683208922,0.028669137297213695,0.06049332176129716,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,19,9750,0.32898054200443894,0.2565964059196617,0.0,0.0,0.31136396635126407,0.09529038061891165,0.04068939852204296,0.0853550734619991,20.0,0.0,0.5861538461538461
A02-R-q6,A02-R-q6,CV02,19,9750,0.3104250067206864,0.3211549213060841,0.0006060606060606061,0.2,0.34090652976362823,0.06713813272289859,0.028668268723922693,0.060491223804184396,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,20,9750,0.3289121003947035,0.2566276250880902,0.0,0.0,0.3110393454175948,0.0950667071375741,0.04059388899252021,0.08521605632713342,20.0,0.0,0.5861538461538461
A02-R-q6,A02-R-q6,CV02,20,9750,0.3104108389379834,0.32120425182053086,0.0006060606060606061,0.2,0.34090115814004224,0.06714028110095359,0.028669186090505637,0.06049439530642176,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-08-N,PRQK-08-N,CV02,1,9750,0.1909750404805501,0.7057675828047921,0.13454545454545455,0.26287744227353466,0.2619004630894599,0.08014666488883533,0.034222967383417464,0.07253343986893529,19.476923076923075,0.2076923076923077,0.3523076923076923
